City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,lebu,-37.6167,-73.65,62.28,77,0,17.49,CL,1675807519
185,marabba,12.35,32.1833,72.46,17,4,18.48,SD,1675807523
186,kaithal,29.8,76.3833,50.68,40,0,7.67,IN,1675807528
187,barcelos,41.5388,-8.6151,49.84,75,1,5.3,PT,1675807265
188,suntar,62.1444,117.6319,-30.14,98,100,1.74,RU,1675807541
189,mount gambier,-37.8333,140.7667,58.69,74,5,9.4,AU,1675807336
190,tucupita,9.0622,-62.051,77.94,76,79,6.2,VE,1675807542
191,kavieng,-2.5744,150.7967,81.43,78,100,8.99,PG,1675807455
192,shache,38.4167,77.2406,29.21,65,0,7.29,CN,1675807542
193,sioux lookout,50.1001,-91.917,19.47,68,75,8.05,CA,1675807543
194,cayenne,4.9333,-52.3333,77.04,94,75,3.44,GF,1675807362
195,saint-philippe,-21.3585,55.7679,80.19,84,81,13.56,RE,1675807546
196,cortez,37.3489,-108.5859,38.16,43,0,3.44,US,1675807546
197,komsomolskiy,40.4272,71.7189,34.52,86,10,6.91,UZ,1675807547
198,kruisfontein,-34.0033,24.7314,68.88,80,99,1.77,ZA,1675807259
199,gornoye loo,43.7129,39.6049,38.98,86,100,13.27,RU,1675807547
200,norman wells,65.282,-126.8329,-9.36,70,75,3.44,CA,1675807548
201,alexander city,32.944,-85.9539,69.58,40,0,4.61,US,1675807548
202,hambantota,6.1241,81.1185,77.34,100,20,6.91,LK,1675807548
203,bitung,1.4451,125.1824,74.25,91,100,6.85,ID,1675807549
204,nabire,-3.3667,135.4833,74.48,91,100,3.15,ID,1675807549
205,sotouboua,8.5667,0.9833,86.04,40,100,1.72,TG,1675807550
206,pyaozerskiy,65.8333,31.1667,32.45,90,100,7.99,RU,1675807550
207,lagoa,39.05,-27.9833,55.99,59,84,17.2,PT,1675807551
208,appleton,44.2619,-88.4154,39.94,71,75,16.11,US,1675807419
209,la cruz,23.9167,-106.9,71.76,50,73,12.97,MX,1675807551
210,saskylakh,71.9167,114.0833,-30.08,100,99,1.52,RU,1675807551
211,kaihua,23.3687,104.28,55.47,89,70,8.68,CN,1675807552
212,lata,40.1629,-8.3327,43.07,77,3,3.91,PT,1675807552
213,chokurdakh,70.6333,147.9167,-36.99,99,99,4.07,RU,1675807553
214,vallenar,-28.5708,-70.7581,82.6,37,17,8.1,CL,1675807350
215,bilma,18.6853,12.9164,69.21,19,82,6.85,NE,1675807553
216,petauke,-14.2426,31.3253,66.25,94,79,4.21,ZM,1675807554
217,jawhar,2.7809,45.5005,74.16,82,19,12.48,SO,1675807554
218,troitskoye,52.9821,84.6757,13.62,97,100,4.03,RU,1675807555
219,jian,27.1172,114.9793,50.56,96,99,1.36,CN,1675807555
220,saint george,37.1041,-113.5841,54.25,33,0,1.01,US,1675807424
221,san ramon,37.7799,-121.978,60.93,58,0,4.61,US,1675807538
222,hami,42.8,93.45,33.06,53,100,4.65,CN,1675807556
223,okha,53.5739,142.9478,-13.25,92,100,5.88,RU,1675807556
224,kudahuvadhoo,2.6708,72.8944,80.44,74,48,8.5,MV,1675807556
225,uniontown,39.9001,-79.7164,61.14,63,100,9.91,US,1675807557
226,matamoros,25.5333,-103.25,80.71,18,75,4.61,MX,1675807475
227,hlukhiv,51.6782,33.9162,13.03,94,6,6.4,UA,1675807557
228,kasempa,-13.4584,25.8338,63.19,97,100,6.71,ZM,1675807558
229,taoudenni,22.6783,-3.9836,68.11,19,88,10.22,ML,1675807540
230,muros,42.7762,-9.0603,45.09,65,5,19.51,ES,1675807558
231,shingu,33.7333,135.9833,42.84,86,1,7.78,JP,1675807559
232,asau,46.4333,26.4,23.92,96,100,4.36,RO,1675807559
233,imeni babushkina,59.7573,43.1285,14.47,94,100,9.57,RU,1675807560
234,victoria,22.2855,114.1577,64.94,93,91,8.99,HK,1675807492
235,yarmolyntsi,49.1924,26.8373,17.26,94,8,7.83,UA,1675807560
236,nacala,-14.5428,40.6728,76.08,92,100,7.4,MZ,1675807561
237,santiago de cuba,20.0247,-75.8219,82.51,65,75,13.8,CU,1675807561
238,bani walid,31.7566,13.9942,50.36,66,100,14.76,LY,1675807562
239,marrakesh,31.6315,-8.0083,53.67,62,40,1.14,MA,1675807288
240,san patricio,28.017,-97.5169,78.75,71,98,20.87,US,1675807563
241,sitka,57.0531,-135.33,39.09,75,100,3.44,US,1675807564
